id,xval,yval
0,279,0.39211473853078527
1,454,0.32227889024714607
2,781,0.6160162148532673
3,138,0.8237044561589706
4,768,0.6524494136324434
5,286,0.5460304418062494
6,537,0.5719216010649095
7,754,0.8489517913603165
8,516,0.4759848418129168
9,134,0.05685091621200222
10,314,0.11643009605086885
11,911,0.9646101215209434
12,194,0.30247284244836015
13,63,0.9458436753754019
14,207,0.1563461025402676
15,211,0.3539962035246681
16,759,0.6052547104367902
17,44,0.9343081030122908
18,928,0.055931965838799
19,314,0.9773653344859469
20,338,0.347611286326423
21,758,0.9282341488686922
22,998,0.7889715489429915
23,132,0.7233989544439425
24,209,0.2015555198945057
25,345,0.6597862838768553
26,35,0.512759886214922
27,272,0.4935413726062984
28,596,0.3809438821716259
29,398,0.939882441316158
30,895,0.27273277327513445
31,268,0.6937629679743869
32,743,0.9745346475956587
33,828,0.7112489650401436
34,950,0.3997674387446961
35,646,0.3935156054425679
36,126,0.2860568352911419
37,491,0.2038041231477744
38,77,0.2419064530220244
39,285,0.484137792439694
40,277,0.10274236569568562
41,578,0.02960437461288712
42,300,0.31522993584675973
43,906,0.112052179826862
44,939,0.2388663668781349
45,698,0.4445825530284484
46,745,0.4201557092472238
47,100,0.2031214337067142
48,211,0.08137134878146612
49,72,0.8101683133201846
50,547,0.008191272265392624
51,470,0.03292010048400695
52,456,0.08748448376271012
53,417,0.9883636958273055
54,40,0.6378082299740451
55,370,0.9258111423693789
56,636,0.8912148088830842
57,436,0.1611290732465881
58,231,0.11020400549091947
59,110,0.05276583908201493
60,697,0.9338102298785746
61,302,0.8338802407912039
62,136,0.49838893244687343
63,246,0.20577908975645853
64,326,0.29368393232254153
65,75,0.7848876251836282
66,514,0.38447254676414044
67,198,0.28349308921138705
68,661,0.18666076870518955
69,732,0.45341660277619
70,98,0.1604058322391424
71,289,0.5275902439292294
72,772,0.7661862669166181
73,751,0.7965088788914316
74,115,0.40726025213393624
75,560,0.6398280747850746
76,130,0.9589697548219922
77,360,0.9789888225304553
78,426,0.3469554070828452
79,493,0.5928179362046953
80,732,0.007133215568549955
81,348,0.4428176595435004
82,108,0.0491102051524237
83,948,0.06066955085499148
84,170,0.4564718772283848
85,842,0.16170114552523385
86,948,0.305362623451397
87,715,0.009580695649951454
88,710,0.24434249652178208
89,190,0.3779168419486014
90,781,0.8314372650238887
91,713,0.6389059849286183
92,352,0.5047770690886817
93,964,0.3923797367834305
94,853,0.22574662599163176
95,781,0.14912212725577811
96,800,0.46659550609301337
97,667,0.26532734042109873
98,410,0.7830535657484309
99,306,0.28656478876257585
100,512,0.9134330039937912
101,954,0.9912118272086803
102,978,0.6129071498876283
103,502,0.6844712971703871
104,423,0.4232729105082007
105,81,0.743417291671961
106,144,0.14364227151057762
107,53,0.5720801975208225
108,389,0.9092430482836571
109,335,0.596488732023885
110,979,0.3080459282869733
111,157,0.45391937521009507
112,250,0.1325942363165855
113,52,0.55272718735281
114,686,0.6828792873816981
115,841,0.8897366281102206
116,191,0.6246934753918536
117,889,0.663287837591957
118,688,0.7970391440699692
119,190,0.09898606329596182
120,292,0.6821352707804393
121,309,0.003867666620342547
122,993,0.6974208998815974
123,115,0.7256676784611795
124,110,0.7891491467156264
125,562,0.23697978795443353
126,144,0.5328230128702062
127,607,0.02772901154328622
128,821,0.23495732564914873
129,828,0.42878372702619183
130,344,0.8806868185161263
131,193,0.8989610705942963
132,316,0.5370244548315481
133,633,0.787941753012811
134,720,0.21273905959304218
135,574,0.7545523940562752
136,482,0.5478185645286652
137,311,0.7467984790842231
138,83,0.4271800315499743
139,78,0.5225619099084495
140,951,0.7274956881018667
141,199,0.4575910176180359
142,847,0.7459565698682412
143,994,0.4854708909002228
144,367,0.5771648975644215
145,186,0.6243245596929761
146,505,0.5292234282796298
147,678,0.7865831398753675
148,340,0.42232693409382527
149,272,0.44149597909513016
150,43,0.864202694402466
151,555,0.7211997422109911
152,978,0.8118705339838417
153,425,0.35158004407043064
154,753,0.6099178065771339
155,587,0.52962307443458
156,587,0.906352525476215
157,622,0.8889403673120633
158,573,0.024543065581443924
159,155,0.23246011262366884
160,437,0.22867051150518036
161,324,0.8309263033959545
162,828,0.006764022465657327
163,199,0.6239757569507683
164,245,0.3820143381073362
165,478,0.05541716822880838
166,993,0.8822526905861188
167,837,0.37029778273042024
168,922,0.8274481208898135
169,905,0.6883888436750374
170,894,0.465393805352029
171,964,0.7317249918718827
172,306,0.3352472400723925
173,692,0.4505278651891851
174,199,0.7310084083973997
175,967,0.19561923294088135
176,873,0.3258747317215016
177,106,0.3450591676298488
178,397,0.540450455937209
179,100,0.9736956660624756
180,515,0.7253329293223417
181,41,0.9716054276217146
182,596,0.35718210953695995
183,789,0.9492066566224675
184,568,0.03664165525247354
185,757,0.8985752862948491
186,72,0.29063282004697155
187,419,0.24058549283855535
188,259,0.4778033479524969
189,508,0.22125023837425395
190,628,0.6085843794424092
191,46,0.6334486291710455
192,767,0.720467456119817
193,150,0.32734763371182396
194,598,0.018050838894448584
195,913,0.4725188502828809
196,803,0.3186003629428559
197,713,0.9891093145607595
198,793,0.833771225819904
199,569,0.06456379935152001
200,96,0.3355801254970594
201,168,0.4120288892578725
202,985,0.207356092337579
203,995,0.896006942241139
204,72,0.46032468860973763
205,993,0.319487841325647
206,383,0.4906411575073907
